Label of tree,type,Twig a or b,Date,Live scale shoot 1,dead scale shoot 1,Live scale shoot 2,dead scale shoot 2,Live scale shoot 3,dead scale shoot 3,presence of parasitism,scale on new growth?,presence of fungus,encarsia,notes,
D-B1a,Crypto,a,November,0,0,0,0,0,0,no,,no,0,"*in distance numbers v4, these were all zeros, so I think I made a mistake and these are the blue numbers below.",
D-B1a,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-B1b,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-B1b,Crypto,b,November,0,0,0,0,0,0,no,,no,0,,
D-B1c,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-B1c,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-B1d,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-B1d,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-C1a,Crypto,a,November,0,0,0,0,0,0,no,,no,2,,
D-C1a,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-C1b,Crypto,a,November,0,0,0,0,0,0,no,,no,1,,
D-C1b,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-C1c,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-C1c,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-C1d,Crypto,a,November,0,1,0,1,0,1,no,,no,,,
D-C1d,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-D1a,Crypto,a,November,0,0,0,0,0,0,no,,no,0,,
D-D1a,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-D1b,Crypto,a,November,0,0,0,0,0,0,no,,no,0,,
D-D1b,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-D1c,Crypto,a,November,3,2,1,9,1,3,no,,no,,,
D-D1c,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-D1d,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-D1d,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-A2a,Crypto,a,November,0,0,0,0,0,0,no,,no,1,,
D-A2a,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-A2b,Crypto,a,November,0,17,0,3,0,11,no,,no,1,,
D-A2b,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-A2c,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-A2c,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-A2d,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-A2d,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-B2a,Crypto,a,November,0,0,0,0,0,0,no,,no,0,,
D-B2a,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-B2b,Crypto,a,November,0,0,0,0,0,0,no,,no,1,,
D-B2b,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-B2c,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-B2c,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-B2d,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-B2d,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-C2a,Crypto,a,November,0,0,0,0,0,0,no,,no,1,,
D-C2a,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-C2b,Crypto,a,November,0,0,0,0,0,0,no,,no,0,,
D-C2b,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-C2c,Crypto,a,November,0,1,0,0,0,0,no,,no,,,
D-C2c,Crypto,b,November,0,1,0,0,0,0,no,,no,,,
D-C2d,Crypto,a,November,0,1,0,0,0,0,no,,no,,,
D-C2d,Crypto,b,November,0,1,0,0,0,0,no,,no,,,
D-D2a,Crypto,a,November,0,1,0,0,0,0,no,,no,1,,
D-D2a,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-D2b,Crypto,a,November,0,0,0,0,0,0,no,,no,0,,
D-D2b,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-D2c,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-D2c,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-D2d,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-D2d,Crypto,b,November,0,12,0,20,0,14,yes,,no,,,
D-A3a,Crypto,a,November,0,0,0,0,0,0,no,,no,5,,
D-A3a,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-A3b,Crypto,a,November,0,20,0,6,0,15,no,,no,3,,
D-A3b,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-A3c,Crypto,a,November,0,6,1,20,0,16,no,,no,,,
D-A3c,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-A3d,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-A3d,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-B3a,Crypto,a,November,0,26,0,30,0,23,yes,,no,2,,
D-B3a,Crypto,b,November,0,0,0,6,0,6,no,,no,,,
D-B3b,Crypto,a,November,0,0,0,0,0,0,no,,no,1,,
D-B3b,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-B3c,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-B3c,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-B3d,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-B3d,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-C3a,Crypto,a,November,0,0,0,0,0,0,no,,no,0,,
D-C3a,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-C3b,Crypto,a,November,0,0,0,0,0,0,no,,no,0,,
D-C3b,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-C3c,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-C3c,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-C3d,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-C3d,Crypto,b,November,0,0,0,0,0,7,yes,,no,,,
D-D3a,Crypto,a,November,0,0,0,0,0,0,no,,no,0,,
D-D3a,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-D3b,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-D3b,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-D3c,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-D3c,Crypto,b,November,0,0,0,0,0,0,no,,no,,scale on last years growth,
D-D3d,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-D3d,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-A4a,Crypto,a,November,0,0,0,0,0,0,no,,no,1,,
D-A4a,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-A4b,Crypto,a,November,0,0,0,0,0,0,no,,no,1,,
D-A4b,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-A4c,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-A4c,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-A4d,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-A4d,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-B4a,Crypto,a,November,0,0,0,0,0,0,no,,no,0,,
D-B4a,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-B4b,Crypto,a,November,0,0,0,0,0,0,no,,no,1,,
D-B4b,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-B4c,Crypto,a,November,0,18,1,33,2,44,yes,,no,,,
D-B4c,Crypto,b,November,0,6,0,4,0,8,no,,no,,,
D-B4d,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-B4d,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-C4a,Crypto,a,November,0,0,0,0,0,0,no,,no,1,,
D-C4a,Crypto,b,November,0,0,0,0,0,0,no,,no, ,,
D-C4b,Crypto,a,November,1,0,0,5,0,5,no,,no,0,,
D-C4b,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-C4c,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-C4c,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-C4d,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-C4d,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-D4a,Crypto,a,November,0,0,0,0,0,0,no,,no,4,"This was originally blank, which was a mistake, looking at the numbers it should have been B4a-d",
D-D4a,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-D4b,Crypto,a,November,0,0,0,0,0,0,no,,no,1,,
D-D4b,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-D4c,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-D4c,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-D4d,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-D4d,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
,,,,,,,,,,,,,,,
