Label of tree,County,Twig a or b,Date,Counter,Live scale shoot 1,dead scale shoot 1,Live scale shoot 2,dead scale shoot 2,Live scale shoot 3,dead scale shoot 3,presence of parasitism ,presence of fungus,scale on new growth?,Encarsia
S-C2c,Ashe,b,November,Jamie,2,0,4,1,1,0,,,NA,
S-C2d,Ashe,a,November,Jamie,3,0,1,0,0,0,,,NA,
S-C2d,Ashe,b,November,Jamie,0,1,0,0,0,0,,,NA,
S-C3a,Ashe,a,November,Jamie,0,0,0,0,0,0,,,NA,
S-C3a,Ashe,b,November,Jamie,1,0,0,1,0,0,,,NA,
S-C3b,Ashe,a,November,Jamie,0,0,0,0,0,0,,,NA,
S-C3b,Ashe,b,November,Jamie,0,0,0,0,0,0,,,NA,
S-C3c,Ashe,a,November,Jamie,0,1,0,0,0,0,,,NA,
S-C3c,Ashe,b,November,Jamie,0,0,0,0,0,0,,,NA,
S-C3d,Ashe,a,November,Jamie,0,6,0,7,1,5,y,,NA,
S-C3d,Ashe,b,November,Jamie,9,16,9,21,0,0,,,NA,
S-C4a,Ashe,a,November,Jamie,9,14,0,0,7,5,y,,NA,4
S-C4a,Ashe,b,November,Jamie,14,16,6,14,6,8,y,,NA,4
S-C4b,Ashe,a,November,Jamie,2,1,0,0,0,0,,,NA,3
S-C4b,Ashe,b,November,Jamie,1,0,1,0,0,0,,,NA,3
S-C4c,Ashe,a,November,Jamie,6,5,3,5,1,3,y,,NA,
S-C4c,Ashe,b,November,Jamie,15,8,6,4,5,4,y,,NA,
S-C4d,Ashe,a,November,Jamie,7,18,9,12,7,10,y,,NA,
S-C4d,Ashe,b,November,Jamie,10,7,12,5,10,4,y,,NA,
S-D1a,Ashe,b,November,Jamie,9,25,9,20,16,23,no,,NA,9
S-D1a,Ashe,a,November,Jamie,2,10,0,13,2,5,no,,NA,9
S-D1b,Ashe,a,November,Jamie,1,10,2,10,1,10,no,,NA,14
S-D1b,Ashe,b,November,Jamie,0,3,0,5,0,4,no,,NA,14
S-D1c,Ashe,a,November,Jamie,2,15,2,10,5,20,yes,,NA,
S-D1c,Ashe,b,November,Jamie,0,10,1,20,4,30,yes,,NA,
S-D1d,Ashe,a,November,Jamie,1,5,3,10,3,17,yes,,NA,
S-D1d,Ashe,b,November,Jamie,0,3,4,4,0,3,yes,,NA,
S-D2a,Ashe,b,November,Jamie,0,0,0,0,0,0,no,,NA,0
S-D2a,Ashe,a,November,Jamie,1,0,0,0,0,0,no,,NA,0
S-D2b,Ashe,a,November,Jamie,0,13,2,5,0,7,no,,NA,1
S-D2b,Ashe,b,November,Jamie,0,10,0,11,3,6,no,,NA,1
S-D2c,Ashe,a,November,Jamie,0,0,0,2,0,1,no,,NA,
S-D2c,Ashe,b,November,Jamie,1,1,0,2,0,3,no,,NA,
S-D2d,Ashe,a,November,Jamie,2,6,1,9,0,15,no,,NA,
S-D2d,Ashe,b,November,Jamie,0,1,0,3,0,10,no,,NA,
S-D3a,Ashe,a,November,Jamie,0,1,0,0,0,0,no,,NA,3
S-D3a,Ashe,b,November,Jamie,0,4,0,0,0,0,no,,NA,3
S-D3b,Ashe,b,November,Jamie,3,4,0,14,9,54,no,,NA,1
S-D3b,Ashe,a,November,Jamie,1,5,3,9,2,11,no,,NA,1
S-D3c,Ashe,a,November,Jamie,1,5,0,15,0,10,no,,NA,
S-D3c,Ashe,b,November,Jamie,3,15,0,15,0,15,no,,NA,
S-D3d,Ashe,a,November,Jamie,0,0,0,0,0,0,no,,NA,
S-D3d,Ashe,b,November,Jamie,0,0,0,0,0,0,no,,NA,
S-D4a,Ashe,a,November,Jamie,3,12,5,15,2,10,no,,NA,0
S-D4a,Ashe,b,November,Jamie,1,10,5,12,0,3,no,,NA,0
S-D4b,Ashe,b,November,Jamie,0,0,0,2,0,0,no,,NA,2
S-D4b,Ashe,a,November,Jamie,1,15,0,14,0,17,no,,NA,2
S-D4c,Ashe,a,November,Jamie,3,15,3,8,3,0,no,,NA,
S-D4c,Ashe,b,November,Jamie,12,8,3,26,5,35,no,,NA,
S-D4d,Ashe,a,November,Jamie,1,6,0,2,2,3,yes,,NA,
S-D4d,Ashe,b,November,Jamie,1,3,5,3,5,2,no,,NA,
S-E1a,Ashe,a,November,Jamie,2,2,8,10,2,3,no,,NA,0
S-E1a,Ashe,b,November,Jamie,2,6,2,9,3,3,yes,,NA,0
S-E1b,Ashe,a,November,Jamie,7,21,9,19,6,11,no,,NA,1
S-E1b,Ashe,b,November,Jamie,0,2,1,0,0,,no,,NA,1
S-E1c,Ashe,b,November,Jamie,0,0,0,0,0,0,no,,NA,
S-E1c,Ashe,a,November,Jamie,0,1,2,2,5,2,no,,NA,
S-E1d,Ashe,a,November,Jamie,0,6,4,7,7,9,no,,NA,
S-E1d,Ashe,b,November,Jamie,3,3,2,5,2,7,no,,NA,
S-E2a,Ashe,b,November,Jamie,0,7,0,7,1,4,no,,NA,1
S-E2a,Ashe,a,November,Jamie,0,1,0,1,0,2,no,,NA,1
S-E2b,Ashe,a,November,Jamie,1,4,0,6,2,7,no,,NA,0
S-E2b,Ashe,b,November,Jamie,2,7,0,12,0,4,no,,NA,0
S-E2c,Ashe,b,November,Jamie,1,12,1,12,0,11,no,,NA,
S-E2c,Ashe,a,November,Jamie,5,32,4,27,4,50,no,,NA,
S-E2d,Ashe,a,November,Jamie,2,14,1,20,1,14,no,,NA,
S-E2d,Ashe,b,November,Jamie,1,5,0,4,0,7,no,,NA,
S-E3a,Ashe,b,November,Jamie,0,0,0,0,0,0,no,,NA,0
S-E3a,Ashe,a,November,Jamie,0,0,0,0,0,0,no,,NA,0
S-E3b,Ashe,a,November,Jamie,0,0,0,2,0,1,no,,NA,1
S-E3b,Ashe,b,November,Jamie,0,0,0,0,0,0,no,,NA,1
S-E3c,Ashe,a,November,Jamie,1,10,2,7,0,0,no,,NA,
S-E3c,Ashe,b,November,Jamie,0,6,0,6,2,6,no,,NA,
S-E3d,Ashe,a,November,Jamie,3,21,1,26,2,15,no,,NA,
S-E3d,Ashe,b,November,Jamie,0,6,1,15,3,18,no,,NA,
S-E4a,Ashe,b,November,Jamie,4,46,12,35,9,32,yes,,NA,7
S-E4a,Ashe,a,November,Jamie,6,40,10,26,5,27,yes,,NA,7
S-E4b,Ashe,b,November,Jamie,3,1,0,3,3,17,no,,NA,1
S-E4b,Ashe,a,November,Jamie,1,10,3,10,3,9,no,,NA,1
S-E4c,Ashe,a,November,Jamie,0,20,2,20,2,20,yes,,NA,
S-E4c,Ashe,b,November,Jamie,3,25,4,20,4,10,yes,,NA,
S-E4d,Ashe,a,November,Jamie,2,7,5,20,1,11,yes,,NA,
S-E4d,Ashe,b,November,Jamie,0,20,1,11,1,11,yes,,NA,
S-F1a,Ashe,a,November,Jamie,9,6,8,30,7,13,no,,NA,0
S-F1a,Ashe,b,November,Jamie,0,0,0,0,0,0,no,,NA,0
S-F1b,Ashe,b,November,Jamie,0,3,0,0,0,0,no,,NA,0
S-F1b,Ashe,a,November,Jamie,1,0,1,0,1,0,no,,NA,0
S-F1c,Ashe,a,November,Jamie,2,22,1,30,2,30,no,,NA,
S-F1c,Ashe,b,November,Jamie,4,30,4,25,1,7,no,,NA,
S-F1d,Ashe,a,November,Jamie,1,3,1,1,1,3,yes,,NA,
S-F1d,Ashe,b,November,Jamie,3,7,3,4,1,20,yes,,NA,
S-F2a,Ashe,a,November,Jamie,0,0,0,0,0,0,no,,NA,1
S-F2a,Ashe,b,November,Jamie,0,0,0,1,1,0,no,,NA,1
S-F2b,Ashe,a,November,Jamie,0,3,0,4,0,0,no,,NA,0
S-F2b,Ashe,only one,November,Jamie,0,0,0,0,0,0,no,,NA,0
S-F2c,Ashe,a,November,Jamie,0,0,0,3,0,3,no,,NA,
S-F2c,Ashe,b,November,Jamie,0,0,0,0,0,0,no,,NA,
S-F2d,Ashe,a,November,Jamie,0,0,0,0,0,0,no,,NA,
S-F2d,Ashe,b,November,Jamie,0,0,0,1,0,0,no,,NA,
S-F3a,Ashe,a,November,Jamie,0,0,0,0,0,0,no,,NA,0
S-F3a,Ashe,b,November,Jamie,0,0,0,0,0,0,no,,NA,0
S-F3b,Ashe,a,November,Jamie,1,0,0,0,0,0,no,,NA,0
S-F3b,Ashe,a,November,Jamie,1,2,0,0,0,0,no,,NA,0
S-F3b,Ashe,b,November,Jamie,0,1,3,3,1,1,no,,NA,
S-F3c,Ashe,a,November,Jamie,0,1,0,1,0,1,no,,NA,
S-F3c,Ashe,b,November,Jamie,0,1,0,1,0,1,no,,NA,
S-F3d,Ashe,a,November,Jamie,0,0,0,0,0,0,no,,NA,
S-F4a,Ashe,a,November,Jamie,0,0,0,0,0,0,no,,NA,1
S-F4a,Ashe,b,November,Jamie,4,7,5,8,4,5,no,,NA,1
S-F4b,Ashe,a,November,Jamie,1,3,1,2,8,6,no,,NA,3
S-F4b,Ashe,b,November,Jamie,4,9,2,8,1,0,no,,NA,3
S-F4c,Ashe,a,November,Jamie,1,0,1,1,1,0,no,,NA,
S-F4c,Ashe,b,November,Jamie,10,15,19,20,15,28,no,,NA,
S-F4d,Ashe,a,November,Jamie,2,20,3,5,6,10,no,,NA,
S-F4d,Ashe,b,November,Jamie,2,2,2,5,1,3,no,,NA,
V-A1a,Avery,a,November,Jamie,2,3,2,10,3,5,y,,NA,0
V-A1a,Avery,b,November,Jamie,6,3,2,0,1,2,y,,NA,0
V-A1b,Avery,a,November,Jamie,0,4,0,1,2,5,y,,NA,0
V-A1b,Avery,b,November,Jamie,1,1,0,0,0,1,y,,NA,0
V-A1c,Avery,a,November,Jamie,0,1,0,1,0,1,,,NA,
V-A1c,Avery,b,November,Jamie,0,1,1,2,1,1,y,,NA,
V-A1d,Avery,b,November,Jamie,1,13,2,9,4,4,y,,NA,
V-A1d,Avery,a,November,Jamie,1,0,5,3,1,1,,,NA,
V-A2a,Avery,a,November,Jamie,0,2,1,1,0,0,y,,NA,1
V-A2a,Avery,b,November,Jamie,0,2,1,0,0,0,y,,NA,1
V-A2b,Avery,a,November,Jamie,0,0,0,0,0,0,,,NA,0
V-A2b,Avery,b,November,Jamie,0,5,0,3,5,3,y,,NA,0
V-A2c,Avery,a,November,Jamie,1,1,0,0,0,0,,,NA,
V-A2c,Avery,b,November,Jamie,1,4,1,6,0,2,,,NA,
V-A2d,Avery,b,November,Jamie,1,0,1,1,0,0,,,NA,
V-A2d,Avery,a,November,Jamie,8,55,2,25,4,15,y,,NA,
V-A3a,Avery,a,November,Jamie,1,1,0,2,0,2,,,NA,
V-A3a,Avery,b,November,Jamie,1,13,0,1,0,1,y,,NA,0
V-A3b,Avery,a,November,Jamie,0,8,1,3,2,4,y,,NA,0
V-A3b,Avery,b,November,Jamie,1,0,0,0,0,0,,,NA,0
V-A3c,Avery,b,November,Jamie,1,15,0,1,1,14,y,,NA,0
V-A3c,Avery,a,November,Jamie,1,14,1,5,0,10,,,NA,
V-A3d,Avery,a,November,Jamie,0,1,0,6,0,0,y,,NA,
V-A3d,Avery,b,November,Jamie,0,1,0,0,0,0,,,NA,
V-A4a,Avery,a,November,Jamie,5,16,4,6,8,11,y,,NA,0
V-A4a,Avery,b,November,Jamie,0,2,1,0,0,2,y,,NA,0
V-A4b,Avery,a,November,Jamie,0,0,0,0,0,0,,,NA,0
V-A4b,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,0
V-A4c,Avery,a,November,Jamie,0,1,0,0,0,0,y,,NA,
V-A4c,Avery,b,November,Jamie,0,1,1,1,0,0,y,,NA,
V-A4d,Avery,b,November,Jamie,2,5,1,3,3,8,y,,NA,
V-A4d,Avery,a,November,Jamie,0,3,0,0,0,1,y,,NA,
V-B1a,Avery,a,November,Jamie,2,5,5,0,4,3,y,,NA,0
V-B1a,Avery,b,November,Jamie,1,2,1,0,1,0,,,NA,0
V-B1b,Avery,a,November,Jamie,0,5,,,,,,y,NA,0
V-B1b,Avery,b,November,Jamie,0,1,0,1,,,y,y,NA,0
V-B1c,Avery,a,November,Jamie,1,3,0,1,0,2,y,,NA,
V-B1c,Avery,b,November,Jamie,1,1,0,14,0,3,,,NA,
V-B1d,Avery,a,November,Jamie,2,0,0,0,,,,,NA,
V-B1d,Avery,b,November,Jamie,0,0,0,0,,,,,NA,
V-B2a,Avery,a,November,Jamie,3,1,2,0,1,6,y,,NA,0
V-B2a,Avery,b,November,Jamie,6,2,3,7,0,7,y,,NA,0
V-B2b,Avery,a,November,Jamie,5,19,6,5,,,y,y,NA,0
V-B2b,Avery,b,November,Jamie,8,34,6,17,4,6,y,,NA,0
V-B2c,Avery,a,November,Jamie,2,4,0,10,1,9,,y,NA,
V-B2c,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,
V-B2d,Avery,a,November,Jamie,1,0,0,0,,,,,NA,
V-B2d,Avery,b,November,Jamie,1,1,0,2,0,5,y,y,NA,
V-B3a,Avery,a,November,Jamie,0,0,0,1,0,1,y,y,NA,1
V-B3a,Avery,b,November,Jamie,0,1,2,13,0,0,y,y,NA,1
V-B3b,Avery,a,November,Jamie,0,1,3,2,0,1,y,,NA,1
V-B3b,Avery,b,November,Jamie,1,0,2,3,0,1,y,y,NA,1
V-B3c,Avery,a,November,Jamie,2,1,1,1,1,0,y,,NA,
V-B3c,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,
V-B3d,Avery,a,November,Jamie,1,5,0,4,0,10,y,y,NA,
V-B3d,Avery,b,November,Jamie,6,8,2,7,4,11,y,y,NA,
V-B4a,Avery,b,November,Jamie,0,2,,,,,,,NA,0
V-B4a,Avery,a,November,Jamie,2,13,4,10,2,25,y,,NA,0
V-B4b,Avery,a,November,Jamie,0,0,0,0,0,0,,,NA,0
V-B4b,Avery,b,November,Jamie,1,1,1,0,1,0,,,NA,0
V-B4c,Avery,a,November,Jamie,0,8,2,3,0,8,y,y,NA,
V-B4c,Avery,b,November,Jamie,0,2,0,0,0,1,y,,NA,
V-B4d,Avery,a,November,Jamie,0,1,1,8,0,1,y,,NA,
V-B4d,Avery,b,November,Jamie,0,0,,,,,,,NA,
V-C1a,Avery,a,November,Jamie,0,2,0,3,1,0,y,,NA,0
V-C1a,Avery,b,November,Jamie,0,5,0,1,1,2,y,,NA,0
V-C1b,Avery,a,November,Jamie,1,4,2,4,0,12,y,,NA,0
V-C1b,Avery,b,November,Jamie,2,0,1,0,0,1,y,,NA,0
V-C1c,Avery,a,November,Jamie,0,4,0,6,1,5,y,,NA,
V-C1c,Avery,b,November,Jamie,1,1,0,0,0,0,,,NA,
V-C1d,Avery,a,November,Jamie,6,3,0,4,2,7,y,,NA,
V-C1d,Avery,b,November,Jamie,0,1,3,10,0,5,y,,NA,
V-C2a,Avery,a,November,Jamie,0,0,0,1,0,0,y,,NA,0
V-C2a,Avery,b,November,Jamie,1,3,1,3,0,0,,,NA,0
V-C2b,Avery,a,November,Jamie,1,1,0,4,0,4,y,,NA,0
V-C2b,Avery,b,November,Jamie,0,2,2,1,0,1,y,,NA,0
V-C2c,Avery,a,November,Jamie,1,2,0,0,0,0,,,NA,
V-C2c,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,
V-C2d,Avery,a,November,Jamie,1,5,0,11,0,1,y,,NA,
V-C2d,Avery,b,November,Jamie,0,11,2,12,3,6,y,,NA,
V-C3a,Avery,a,November,Jamie,0,1,0,1,0,4,y,,NA,0
V-C3a,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,0
V-C3b,Avery,a,November,Jamie,0,0,0,0,0,0,,,NA,0
V-C3b,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,0
V-C3c,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,
V-C3c,Avery,a,November,Jamie,1,0,0,1,0,0,,,NA,
V-C3d,Avery,a,November,Jamie,0,2,0,0,0,0,,,NA,
V-C3d,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,
V-C4a,Avery,a,November,Jamie,5,10,4,9,9,11,y,,NA,0
V-C4a,Avery,b,November,Jamie,2,4,1,0,0,0,,,NA,0
V-C4b,Avery,b,November,Jamie,1,1,0,3,0,2,y,,NA,0
V-C4b,Avery,a,November,Jamie,4,16,1,2,2,0,y,,NA,0
V-C4c,Avery,a,November,Jamie,4,15,5,7,6,8,y,,NA,
V-C4c,Avery,b,November,Jamie,8,7,0,9,2,4,y,,NA,
V-C4d,Avery,a,November,Jamie,4,5,1,2,0,1,y,,NA,
V-C4d,Avery,b,November,Jamie,1,6,3,4,2,11,,,NA,
V-D1a,Avery,a,November,Jamie,0,0,0,0,0,0,,,NA,0
V-D1a,Avery,b,November,Jamie,1,0,0,0,0,0,,,NA,0
V-D1b,Avery,a,November,Jamie,0,0,0,0,0,0,,,NA,0
V-D1b,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,0
V-D1c,Avery,a,November,Jamie,0,1,0,1,1,3,,y,NA,
V-D1c,Avery,b,November,Jamie,3,4,1,4,2,2,y,,NA,
V-D1d,Avery,a,November,Jamie,3,1,2,1,0,1,y,,NA,
V-D2a,Avery,a,November,Jamie,2,1,0,6,,,,,NA,0
V-D2a,Avery,b,November,Jamie,0,1,0,0,0,0,,,NA,0
V-D2b,Avery,a,November,Jamie,1,1,1,0,0,0,y,,NA,0
V-D2b,Avery,b,November,Jamie,0,1,0,1,0,1,y,,NA,0
V-D2c,Avery,a,November,Jamie,1,0,0,0,0,0,,,NA,
V-D2c,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,
V-D2d,Avery,a,November,Jamie,4,5,4,6,0,11,,,NA,
V-D2d,Avery,b,November,Jamie,1,1,0,0,0,0,,,NA,
V-D3a,Avery,a,November,Jamie,0,2,2,2,0,2,y,,NA,0
V-D3a,Avery,b,November,Jamie,,,,,,,,,NA,0
V-D3b,Avery,b,November,Jamie,,,,,,,,,NA,0
V-D3b,Avery,a,November,Jamie,,,,,,,,,NA,0
V-D3c,Avery,a,November,Jamie,,,,,,,,,NA,
V-D3c,Avery,b,November,Jamie,,,,,,,,,NA,
V-D3d,Avery,a,November,Jamie,,,,,,,,,NA,
V-D3d,Avery,b,November,Jamie,,,,,,,,,NA,
V-D4a,Avery,a,November,Jamie,,,,,,,,,NA,0
V-D4a,Avery,b,November,Jamie,,,,,,,,,NA,0
V-D4b,Avery,a,November,Jamie,,,,,,,,,NA,0
V-D4b,Avery,b,November,Jamie,,,,,,,,,NA,0
V-D4c,Avery,b,November,Jamie,,,,,,,,,NA,
V-D4c,Avery,a,November,Jamie,,,,,,,,,NA,
V-D4d,Avery,a,November,Jamie,,,,,,,,,NA,
V-D4d,Avery,b,November,Jamie,,,,,,,,,NA,
V-E1a,Avery,b,November,Jamie,1,0,0,0,0,0,,,NA,0
V-E1a,Avery,a,November,Jamie,1,11,2,9,2,4,y,,NA,0
V-E1b,Avery,a,November,Jamie,0,0,0,0,0,0,y,,NA,0
V-E1b,Avery,b,November,Jamie,1,0,0,1,0,0,,,NA,0
V-E1c,Avery,a,November,Jamie,0,0,0,2,0,0,,,NA,
V-E1c,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,
V-E1d,Avery,a,November,Jamie,1,1,0,1,1,0,y,,NA,
V-E1d,Avery,b,November,Jamie,9,3,2,5,3,3,y,,NA,
V-E2a,Avery,b,November,Jamie,1,0,0,2,0,0,y,,NA,0
V-E2a,Avery,a,November,Jamie,0,0,0,0,0,0,,,NA,0
V-E2b,Avery,a,November,Jamie,0,1,0,0,0,0,y,,NA,1
V-E2b,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,1
V-E2c,Avery,a,November,Jamie,0,0,0,0,0,0,,,NA,
V-E2c,Avery,b,November,Jamie,0,1,0,0,0,2,y,,NA,
V-E2d,Avery,a,November,Jamie,0,0,0,1,0,1,y,,NA,
V-E2d,Avery,b,November,Jamie,1,0,1,2,1,1,y,,NA,
V-E3a,Avery,a,November,Jamie,0,4,0,2,0,0,,,NA,0
V-E3a,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,0
V-E3b,Avery,a,November,Jamie,1,1,0,0,0,0,,,NA,0
V-E3b,Avery,b,November,Jamie,0,1,0,0,0,0,,,NA,0
V-E3c,Avery,a,November,Jamie,0,0,0,0,0,0,,,NA,
V-E3c,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,
V-E3d,Avery,a,November,Jamie,0,0,0,0,0,0,,,NA,
V-E3d,Avery,b,November,Jamie,0,2,0,0,0,2,,,NA,
V-E4a,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,0
V-E4a,Avery,a,November,Jamie,0,0,0,0,0,0,,,NA,0
V-E4b,Avery,a,November,Jamie,0,0,0,0,0,0,,,NA,1
V-E4b,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,1
V-E4c,Avery,a,November,Jamie,1,3,0,2,0,1,,,NA,
V-E4c,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,
V-E4d,Avery,a,November,Jamie,0,0,0,0,0,0,,,NA,
V-E4d,Avery,b,November,Jamie,0,0,0,0,0,0,,,NA,
W-A1a,Watauga,a,November,Jamie,4,13,0,15,4,4,y,,NA,46
W-A1a,Watauga,b,November,Jamie,1,0,2,2,0,4,y,,NA,46
W-A1b,Watauga,a,November,Jamie,2,0,1,0,0,5,y,,NA,34
W-A1b,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,34
W-A1c,Watauga,a,November,Jamie,0,0,0,0,0,0,,,NA,
W-A1c,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,
W-A1d,Watauga,a,November,Jamie,0,0,0,0,0,0,,,NA,
W-A1d,Watauga,b,November,Jamie,0,0,0,1,0,0,y,,NA,
W-A2a,Watauga,a,November,Jamie,,,,,,,,,NA,19
W-A2a,Watauga,b,November,Jamie,,,,,,,,,NA,19
W-A2b,Watauga,a,November,Jamie,0,8,3,11,0,9,y,,NA,76
W-A2b,Watauga,b,November,Jamie,0,4,2,8,0,4,y,,NA,76
W-A2c,Watauga,a,November,Jamie,0,0,0,0,0,0,,,NA,
W-A2c,Watauga,b,November,Jamie,1,0,0,1,0,0,y,,NA,
W-A2d,Watauga,a,November,Jamie,1,0,2,0,0,1,y,,NA,
W-A2d,Watauga,b,November,Jamie,0,0,1,0,1,1,,,NA,
W-A3a,Watauga,a,November,Jamie,0,3,0,2,0,2,,,NA,30
W-A3a,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,30
W-A3b,Watauga,a,November,Jamie,0,2,0,1,0,2,,,NA,32
W-A3b,Watauga,b,November,Jamie,0,4,2,8,0,3,,,NA,32
W-A3c,Watauga,a,November,Jamie,1,1,0,3,2,2,y,,NA,
W-A3c,Watauga,b,November,Jamie,0,11,0,2,0,4,,,NA,
W-A3d,Watauga,a,November,Jamie,0,3,0,6,0,0,y,,NA,
W-A3d,Watauga,b,November,Jamie,0,2,0,1,0,0,y,,NA,
W-A4a,Watauga,a,November,Jamie,1,0,0,1,0,0,,,NA,16
W-A4a,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,16
W-A4b,Watauga,a,November,Jamie,1,14,0,12,7,25,y,,NA,87
W-A4b,Watauga,b,November,Jamie,0,13,1,12,1,7,y,,NA,87
W-A4c,Watauga,a,November,Jamie,0,0,0,0,0,0,,,NA,
W-A4c,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,
W-A4d,Watauga,a,November,Jamie,0,0,0,0,0,0,,,NA,
W-A4d,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,
W-B1a,Watauga,a,November,Jamie,3,2,5,7,3,8,y,,NA,12
W-B1a,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,12
W-B1b,Watauga,a,November,Jamie,6,9,2,2,2,3,y,,NA,16
W-B1b,Watauga,b,November,Jamie,4,11,3,10,1,17,y,,NA,16
W-B1c,Watauga,a,November,Jamie,0,7,5,3,3,1,y,,NA,
W-B1c,Watauga,b,November,Jamie,0,3,3,5,5,7,y,,NA,
W-B1d,Watauga,a,November,Jamie,0,0,0,0,0,0,,,NA,
W-B1d,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,
W-B2a,Watauga,a,November,Jamie,11,22,9,21,9,15,y,,NA,10
W-B2a,Watauga,b,November,Jamie,4,15,5,17,1,12,y,,NA,10
W-B2b,Watauga,a,November,Jamie,0,0,0,0,0,0,,,NA,6
W-B2b,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,6
W-B2c,Watauga,a,November,Jamie,0,14,1,18,0,4,y,,NA,
W-B2c,Watauga,b,November,Jamie,1,12,1,22,1,12,y,,NA,
W-B2d,Watauga,a,November,Jamie,10,6,5,9,4,17,y,,NA,
W-B2d,Watauga,b,November,Jamie,0,6,14,22,0,9,y,,NA,
W-B3a,Watauga,a,November,Jamie,0,0,0,0,0,0,,,NA,10
W-B3a,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,10
W-B3b,Watauga,a,November,Jamie,0,0,0,0,0,0,,,NA,13
W-B3b,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,13
W-B3c,Watauga,a,November,Jamie,0,2,2,16,0,0,,,NA,
W-B3c,Watauga,b,November,Jamie,2,20,2,29,5,17,y,,NA,
W-B3d,Watauga,a,November,Jamie,3,1,6,8,0,0,y,,NA,
W-B3d,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,
W-B4a,Watauga,a,November,Jamie,0,2,8,10,5,13,y,,NA,46
W-B4a,Watauga,b,November,Jamie,1,4,3,5,1,6,y,,NA,46
W-B4b,Watauga,a,November,Jamie,0,1,0,0,0,0,,,NA,17
W-B4b,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,17
W-B4c,Watauga,a,November,Jamie,4,16,6,22,0,24,y,,NA,
W-B4c,Watauga,b,November,Jamie,0,26,0,17,4,32,,,NA,
W-B4d,Watauga,a,November,Jamie,0,13,1,7,2,6,y,,NA,
W-B4d,Watauga,b,November,Jamie,2,4,0,8,0,8,y,,NA,
W-C1a,Watauga,a,November,Jamie,1,2,2,3,7,4,y,,NA,10
W-C1a,Watauga,b,November,Jamie,0,1,0,0,0,0,y,,NA,10
W-C1b,Watauga,a,November,Jamie,0,0,0,0,0,0,,,NA,11
W-C1b,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,11
W-C1c,Watauga,a,November,Jamie,0,1,0,1,0,0,y,,NA,
W-C1c,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,
W-C1d,Watauga,a,November,Jamie,2,2,2,0,1,1,y,,NA,
W-C1d,Watauga,b,November,Jamie,9,11,13,18,3,8,y,,NA,
W-C2a,Watauga,a,November,Jamie,0,0,0,0,0,0,,,NA,8
W-C2a,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,8
W-C2b,Watauga,a,November,Jamie,8,9,0,1,0,1,y,,NA,9
W-C2b,Watauga,b,November,Jamie,0,1,4,1,1,1,y,,NA,9
W-C2c,Watauga,a,November,Jamie,0,0,0,0,0,0,,,NA,
W-C2c,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,
W-C2d,Watauga,a,November,Jamie,0,0,0,0,0,0,,,NA,
W-C2d,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,
W-C3a,Watauga,a,November,Jamie,0,0,0,0,0,0,,,NA,1
W-C3a,Watauga,b,November,Jamie,0,1,0,0,0,0,,,NA,1
W-C3b,Watauga,a,November,Jamie,0,0,0,0,0,0,,,NA,3
W-C3b,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,3
W-C3c,Watauga,a,November,Jamie,0,5,0,3,0,1,,,NA,
W-C3c,Watauga,b,November,Jamie,2,54,1,40,1,25,y,,NA,
W-C3d,Watauga,a,November,Jamie,0,0,0,4,0,4,,,NA,
W-C3d,Watauga,b,November,Jamie,0,0,0,0,0,0,,,NA,
